Typical Values,(oven cooked) per 100g,(oven cooked) per fillet (97g),%RI,your RI*,item name,price,image_url,product_url,(grilled) per 100g,(grilled) per grilled sausage (26g),(as sold) per 100g,(grilled) per grilled sausage (53g),(as consumed) per 100g,(as consumed) per kiev (approx. 113g),(as consumed) per 3 goujons (approx. 76g),(grilled) per rasher (21g),% RI,(grilled) per rasher (25g),per grilled sausage (55g),per 100g,(grilled) per grilled sausage (27g),Per 100g as sold,(grilled) per rasher (22g),(grilled) per grilled sausage (54g),per fillet (80g),(oven cooked) per 100g:,(as consumed) per kiev (approx. 127g),(as consumed) per 1/2 pack (approx. 90g),(as consumed) 10 bites (approx. 70g),per 3 goujons (approx. 73g),(as sold) Per 100g,(as sold) Per 1/4 pack,(as consumed) per 100g:,Per 100g grilled,Per rasher 25g grilled,% intake per 25g,(as consumed) per 1/2 pack (123g),(as consumed) per 1/2 pack (158g),(oven cooked) per 1/2 pack (88g),(as consumed) per 3 goujons (approx. 82g),Per 100g (grilled),Per 2 chipolatas (59g) (grilled),Per 2 sausages (117g) (grilled),per grilled 100g,per grilled sausage (54g),(as consumed) per fillet (approx. 164g),(grilled) per rasher (approx. 18g),Per 100g As Sold,(as consumed) per fishcake (approx. 140g),per fishcake (approx. 140g) %RI,Per 2 chipolatas (58g) (grilled),(as consumed) per fillet (approx. 155g),(grilled) per sausage (49g),(cooked as per instructions) Per 100g,(cooked as per instructions) Per 150g,(as consumed) per 100 g,(as consumed) per 1/2 pack (131g),(boiled) per 100g,(boiled) per 1/2 pack (198g),(as consumed) per fishcake (approx. 136g),per fishcake (approx. 136g),(as sold) per pack,(grilled) per sausage (54g),Per 100g,per 100g as sold:,(grilled) per grilled sausage (55g),(as grilled) per 100g,per 100g:,(as consumed) per 1/2 pack (128g),(as consumed) per drumstick and thigh (excl. bone) (approx.191g),(grilled) per 2 rashers (approx. 21g),(oven cooked) per 1/2 pack (192g),(as sold) per 100g:,(shallow fried) per 100g:,per pack,you RI*,(as consumed) per pudding (27g),(stir fried) per 100g,100g of Grilled Sausage contains,1 Grilled Sausage (46g) contains,(as consumed) per grilled sausage (approx. 42g),per grilled sausage (50g) %RI,Per 100g Grilled,1 Grilled Sausage (23g) contains,(as consumed) per pudding (39g),(grilled) per burger (approx. 83g)
Carbohydrate,,,,,Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes 290g,£2.60,['/productImages/405/405401011_0_640x640.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894'],https://groceries.morrisons.com//products/morrisons-the-best-naked-smoked-haddock-applewood-cheddar-fishcakes-405401011,,,,,11.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5g,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,,,,90g,Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes 290g,£2.60,['/productImages/405/405401011_0_640x640.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894'],https://groceries.morrisons.com//products/morrisons-the-best-naked-smoked-haddock-applewood-cheddar-fishcakes-405401011,,,,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2g,1%,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,,,,Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes 290g,£2.60,['/productImages/405/405401011_0_640x640.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894'],https://groceries.morrisons.com//products/morrisons-the-best-naked-smoked-haddock-applewood-cheddar-fishcakes-405401011,,,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,,,,Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes 290g,£2.60,['/productImages/405/405401011_0_640x640.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894'],https://groceries.morrisons.com//products/morrisons-the-best-naked-smoked-haddock-applewood-cheddar-fishcakes-405401011,,,,,9.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4g,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,,,6g,Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes 290g,£2.60,['/productImages/405/405401011_0_640x640.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894'],https://groceries.morrisons.com//products/morrisons-the-best-naked-smoked-haddock-applewood-cheddar-fishcakes-405401011,,,,,0.81g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1g,18%,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes 290g,£2.60,['/productImages/405/405401011_0_640x640.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894'],https://groceries.morrisons.com//products/morrisons-the-best-naked-smoked-haddock-applewood-cheddar-fishcakes-405401011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,,,,Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes 290g,£2.60,['/productImages/405/405401011_0_640x640.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894'],https://groceries.morrisons.com//products/morrisons-the-best-naked-smoked-haddock-applewood-cheddar-fishcakes-405401011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,4%,8400kJ/2000kcal,Morrisons Frozen Cooked Shell On Cold Prawns 450g,£4,['/productImages/355/355923011_0_640x640.jpg?identifier=a2826354290164db3d1a8cef2fa5f2dd'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-shell-on-cold-prawns-355923011,,,,,,,,,,,,295kJ/70kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,1%,70g,Morrisons Frozen Cooked Shell On Cold Prawns 450g,£4,['/productImages/355/355923011_0_640x640.jpg?identifier=a2826354290164db3d1a8cef2fa5f2dd'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-shell-on-cold-prawns-355923011,,,,,,,,,,,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,1%,20g,Morrisons Frozen Cooked Shell On Cold Prawns 450g,£4,['/productImages/355/355923011_0_640x640.jpg?identifier=a2826354290164db3d1a8cef2fa5f2dd'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-shell-on-cold-prawns-355923011,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Frozen Cooked Shell On Cold Prawns 450g,£4,['/productImages/355/355923011_0_640x640.jpg?identifier=a2826354290164db3d1a8cef2fa5f2dd'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-shell-on-cold-prawns-355923011,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,0%,90g,Morrisons Frozen Cooked Shell On Cold Prawns 450g,£4,['/productImages/355/355923011_0_640x640.jpg?identifier=a2826354290164db3d1a8cef2fa5f2dd'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-shell-on-cold-prawns-355923011,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Frozen Cooked Shell On Cold Prawns 450g,£4,['/productImages/355/355923011_0_640x640.jpg?identifier=a2826354290164db3d1a8cef2fa5f2dd'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-shell-on-cold-prawns-355923011,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Frozen Cooked Shell On Cold Prawns 450g,£4,['/productImages/355/355923011_0_640x640.jpg?identifier=a2826354290164db3d1a8cef2fa5f2dd'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-shell-on-cold-prawns-355923011,,,,,,,,,,,,15.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,25%,6g,Morrisons Frozen Cooked Shell On Cold Prawns 450g,£4,['/productImages/355/355923011_0_640x640.jpg?identifier=a2826354290164db3d1a8cef2fa5f2dd'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-shell-on-cold-prawns-355923011,,,,,,,,,,,,1.47g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Frozen Cooked Shell On Cold Prawns 450g,£4,['/productImages/355/355923011_0_640x640.jpg?identifier=a2826354290164db3d1a8cef2fa5f2dd'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-shell-on-cold-prawns-355923011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,,6%,8400kJ/2000kcal,Morrisons Market St Argentinian Red Shrimp 200g,£4,['/productImages/395/395042011_0_640x640.jpg?identifier=033da190d2ba55894dcbd601c8518273'],https://groceries.morrisons.com//products/morrisons-market-st-argentinian-red-shrimp-395042011,,,465kJ/110kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,,3%,70g,Morrisons Market St Argentinian Red Shrimp 200g,£4,['/productImages/395/395042011_0_640x640.jpg?identifier=033da190d2ba55894dcbd601c8518273'],https://groceries.morrisons.com//products/morrisons-market-st-argentinian-red-shrimp-395042011,,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,,,2%,20g,Morrisons Market St Argentinian Red Shrimp 200g,£4,['/productImages/395/395042011_0_640x640.jpg?identifier=033da190d2ba55894dcbd601c8518273'],https://groceries.morrisons.com//products/morrisons-market-st-argentinian-red-shrimp-395042011,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,,,,Morrisons Market St Argentinian Red Shrimp 200g,£4,['/productImages/395/395042011_0_640x640.jpg?identifier=033da190d2ba55894dcbd601c8518273'],https://groceries.morrisons.com//products/morrisons-market-st-argentinian-red-shrimp-395042011,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,,,<1%,90g,Morrisons Market St Argentinian Red Shrimp 200g,£4,['/productImages/395/395042011_0_640x640.jpg?identifier=033da190d2ba55894dcbd601c8518273'],https://groceries.morrisons.com//products/morrisons-market-st-argentinian-red-shrimp-395042011,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,,,,Morrisons Market St Argentinian Red Shrimp 200g,£4,['/productImages/395/395042011_0_640x640.jpg?identifier=033da190d2ba55894dcbd601c8518273'],https://groceries.morrisons.com//products/morrisons-market-st-argentinian-red-shrimp-395042011,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,,,,Morrisons Market St Argentinian Red Shrimp 200g,£4,['/productImages/395/395042011_0_640x640.jpg?identifier=033da190d2ba55894dcbd601c8518273'],https://groceries.morrisons.com//products/morrisons-market-st-argentinian-red-shrimp-395042011,,,20.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,,16%,6g,Morrisons Market St Argentinian Red Shrimp 200g,£4,['/productImages/395/395042011_0_640x640.jpg?identifier=033da190d2ba55894dcbd601c8518273'],https://groceries.morrisons.com//products/morrisons-market-st-argentinian-red-shrimp-395042011,,,0.95g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Market St Argentinian Red Shrimp 200g,£4,['/productImages/395/395042011_0_640x640.jpg?identifier=033da190d2ba55894dcbd601c8518273'],https://groceries.morrisons.com//products/morrisons-market-st-argentinian-red-shrimp-395042011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 4 portions,,,,,Morrisons Market St Argentinian Red Shrimp 200g,£4,['/productImages/395/395042011_0_640x640.jpg?identifier=033da190d2ba55894dcbd601c8518273'],https://groceries.morrisons.com//products/morrisons-market-st-argentinian-red-shrimp-395042011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,,5%,8400kJ/2000kcal,Morrisons Frozen Cooked Half Shell Mussels  400g,£4,['/productImages/355/355944011_0_640x640.jpg?identifier=3a1a2880b1267b7639556c06c49db288'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-half-shell-mussels-355944011,,,,,,,,,,,,442kJ/105kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,,3%,70g,Morrisons Frozen Cooked Half Shell Mussels  400g,£4,['/productImages/355/355944011_0_640x640.jpg?identifier=3a1a2880b1267b7639556c06c49db288'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-half-shell-mussels-355944011,,,,,,,,,,,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,,,2%,20g,Morrisons Frozen Cooked Half Shell Mussels  400g,£4,['/productImages/355/355944011_0_640x640.jpg?identifier=3a1a2880b1267b7639556c06c49db288'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-half-shell-mussels-355944011,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,,,,Morrisons Frozen Cooked Half Shell Mussels  400g,£4,['/productImages/355/355944011_0_640x640.jpg?identifier=3a1a2880b1267b7639556c06c49db288'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-half-shell-mussels-355944011,,,,,,,,,,,,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,,,0%,90g,Morrisons Frozen Cooked Half Shell Mussels  400g,£4,['/productImages/355/355944011_0_640x640.jpg?identifier=3a1a2880b1267b7639556c06c49db288'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-half-shell-mussels-355944011,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,,,,Morrisons Frozen Cooked Half Shell Mussels  400g,£4,['/productImages/355/355944011_0_640x640.jpg?identifier=3a1a2880b1267b7639556c06c49db288'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-half-shell-mussels-355944011,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,,,,Morrisons Frozen Cooked Half Shell Mussels  400g,£4,['/productImages/355/355944011_0_640x640.jpg?identifier=3a1a2880b1267b7639556c06c49db288'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-half-shell-mussels-355944011,,,,,,,,,,,,17.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,,17%,6g,Morrisons Frozen Cooked Half Shell Mussels  400g,£4,['/productImages/355/355944011_0_640x640.jpg?identifier=3a1a2880b1267b7639556c06c49db288'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-half-shell-mussels-355944011,,,,,,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Frozen Cooked Half Shell Mussels  400g,£4,['/productImages/355/355944011_0_640x640.jpg?identifier=3a1a2880b1267b7639556c06c49db288'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-half-shell-mussels-355944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,2%,8400kJ/2000kcal,Morrisons Market St Raw Hand Prepared Whole Squid 350g,£4,['/productImages/412/412989011_0_640x640.jpg?identifier=4a2041300f672b11d6bff62a5d75e764'],https://groceries.morrisons.com//products/morrisons-market-st-raw-hand-prepared-whole-squid-412989011,,,209kJ/49kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,<1%,70g,Morrisons Market St Raw Hand Prepared Whole Squid 350g,£4,['/productImages/412/412989011_0_640x640.jpg?identifier=4a2041300f672b11d6bff62a5d75e764'],https://groceries.morrisons.com//products/morrisons-market-st-raw-hand-prepared-whole-squid-412989011,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,1%,20g,Morrisons Market St Raw Hand Prepared Whole Squid 350g,£4,['/productImages/412/412989011_0_640x640.jpg?identifier=4a2041300f672b11d6bff62a5d75e764'],https://groceries.morrisons.com//products/morrisons-market-st-raw-hand-prepared-whole-squid-412989011,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Market St Raw Hand Prepared Whole Squid 350g,£4,['/productImages/412/412989011_0_640x640.jpg?identifier=4a2041300f672b11d6bff62a5d75e764'],https://groceries.morrisons.com//products/morrisons-market-st-raw-hand-prepared-whole-squid-412989011,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,<1%,90g,Morrisons Market St Raw Hand Prepared Whole Squid 350g,£4,['/productImages/412/412989011_0_640x640.jpg?identifier=4a2041300f672b11d6bff62a5d75e764'],https://groceries.morrisons.com//products/morrisons-market-st-raw-hand-prepared-whole-squid-412989011,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Market St Raw Hand Prepared Whole Squid 350g,£4,['/productImages/412/412989011_0_640x640.jpg?identifier=4a2041300f672b11d6bff62a5d75e764'],https://groceries.morrisons.com//products/morrisons-market-st-raw-hand-prepared-whole-squid-412989011,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Market St Raw Hand Prepared Whole Squid 350g,£4,['/productImages/412/412989011_0_640x640.jpg?identifier=4a2041300f672b11d6bff62a5d75e764'],https://groceries.morrisons.com//products/morrisons-market-st-raw-hand-prepared-whole-squid-412989011,,,10.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,16%,6g,Morrisons Market St Raw Hand Prepared Whole Squid 350g,£4,['/productImages/412/412989011_0_640x640.jpg?identifier=4a2041300f672b11d6bff62a5d75e764'],https://groceries.morrisons.com//products/morrisons-market-st-raw-hand-prepared-whole-squid-412989011,,,0.93g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Market St Raw Hand Prepared Whole Squid 350g,£4,['/productImages/412/412989011_0_640x640.jpg?identifier=4a2041300f672b11d6bff62a5d75e764'],https://groceries.morrisons.com//products/morrisons-market-st-raw-hand-prepared-whole-squid-412989011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,8%,8400kJ/2000kcal,Morrisons Market St Raw Peeled Argentinian Red Shrimp 150g,£4,['/productImages/395/395727011_0_640x640.jpg?identifier=b3f081cf024b360a8ed15e5a57a6b43d'],https://groceries.morrisons.com//products/morrisons-market-st-raw-peeled-argentinian-red-shrimp-395727011,,,465kJ/110kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697kJ/165kcal,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,5%,70g,Morrisons Market St Raw Peeled Argentinian Red Shrimp 150g,£4,['/productImages/395/395727011_0_640x640.jpg?identifier=b3f081cf024b360a8ed15e5a57a6b43d'],https://groceries.morrisons.com//products/morrisons-market-st-raw-peeled-argentinian-red-shrimp-395727011,,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,3%,20g,Morrisons Market St Raw Peeled Argentinian Red Shrimp 150g,£4,['/productImages/395/395727011_0_640x640.jpg?identifier=b3f081cf024b360a8ed15e5a57a6b43d'],https://groceries.morrisons.com//products/morrisons-market-st-raw-peeled-argentinian-red-shrimp-395727011,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Market St Raw Peeled Argentinian Red Shrimp 150g,£4,['/productImages/395/395727011_0_640x640.jpg?identifier=b3f081cf024b360a8ed15e5a57a6b43d'],https://groceries.morrisons.com//products/morrisons-market-st-raw-peeled-argentinian-red-shrimp-395727011,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,<1%,90g,Morrisons Market St Raw Peeled Argentinian Red Shrimp 150g,£4,['/productImages/395/395727011_0_640x640.jpg?identifier=b3f081cf024b360a8ed15e5a57a6b43d'],https://groceries.morrisons.com//products/morrisons-market-st-raw-peeled-argentinian-red-shrimp-395727011,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Market St Raw Peeled Argentinian Red Shrimp 150g,£4,['/productImages/395/395727011_0_640x640.jpg?identifier=b3f081cf024b360a8ed15e5a57a6b43d'],https://groceries.morrisons.com//products/morrisons-market-st-raw-peeled-argentinian-red-shrimp-395727011,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Market St Raw Peeled Argentinian Red Shrimp 150g,£4,['/productImages/395/395727011_0_640x640.jpg?identifier=b3f081cf024b360a8ed15e5a57a6b43d'],https://groceries.morrisons.com//products/morrisons-market-st-raw-peeled-argentinian-red-shrimp-395727011,,,20.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2g,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,24%,6g,Morrisons Market St Raw Peeled Argentinian Red Shrimp 150g,£4,['/productImages/395/395727011_0_640x640.jpg?identifier=b3f081cf024b360a8ed15e5a57a6b43d'],https://groceries.morrisons.com//products/morrisons-market-st-raw-peeled-argentinian-red-shrimp-395727011,,,0.95g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43g,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Market St Raw Peeled Argentinian Red Shrimp 150g,£4,['/productImages/395/395727011_0_640x640.jpg?identifier=b3f081cf024b360a8ed15e5a57a6b43d'],https://groceries.morrisons.com//products/morrisons-market-st-raw-peeled-argentinian-red-shrimp-395727011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,3%,8400kJ/2000kcal,Morrisons Market St Cooked Cockles 200G 200g,£4,['/productImages/413/413097011_0_640x640.jpg?identifier=b0d9c47c03b78b7778d182367f1658a0'],https://groceries.morrisons.com//products/morrisons-market-st-cooked-cockles-200g-413097011,,,,,,,,,,,,226kJ/53kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,1%,70g,Morrisons Market St Cooked Cockles 200G 200g,£4,['/productImages/413/413097011_0_640x640.jpg?identifier=b0d9c47c03b78b7778d182367f1658a0'],https://groceries.morrisons.com//products/morrisons-market-st-cooked-cockles-200g-413097011,,,,,,,,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,1%,20g,Morrisons Market St Cooked Cockles 200G 200g,£4,['/productImages/413/413097011_0_640x640.jpg?identifier=b0d9c47c03b78b7778d182367f1658a0'],https://groceries.morrisons.com//products/morrisons-market-st-cooked-cockles-200g-413097011,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Market St Cooked Cockles 200G 200g,£4,['/productImages/413/413097011_0_640x640.jpg?identifier=b0d9c47c03b78b7778d182367f1658a0'],https://groceries.morrisons.com//products/morrisons-market-st-cooked-cockles-200g-413097011,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
